report_date,county,DEM,REP,UNA,LIB,GRN,WCP,NLM,OTH,TOTAL,source_pdf,parser_version
2024-01-01,ALLEGANY,11367,22907,8886,256,,,0,568,43984,MSR-2024_01.pdf,1.3.1
2024-01-01,ANNE ARUNDEL,174068,129158,103905,2452,,,0,4276,413859,MSR-2024_01.pdf,1.3.1
2024-01-01,BALTIMORE CITY,296532,28113,61252,1153,,,0,5853,392903,MSR-2024_01.pdf,1.3.1
2024-01-01,BALTIMORE CO.,307691,136739,115864,2621,,,0,7812,570727,MSR-2024_01.pdf,1.3.1
2024-01-01,CALVERT,23557,27977,16222,458,,,0,730,68944,MSR-2024_01.pdf,1.3.1
2024-01-01,CAROLINE,6091,10671,4843,123,,,0,257,21985,MSR-2024_01.pdf,1.3.1
2024-01-01,CARROLL,33300,63380,30051,853,,,0,1336,128920,MSR-2024_01.pdf,1.3.1
2024-01-01,CECIL,20130,32884,17619,482,,,0,928,72043,MSR-2024_01.pdf,1.3.1
2024-01-01,CHARLES,74781,22870,23894,440,,,1,1197,123183,MSR-2024_01.pdf,1.3.1
2024-01-01,DORCHESTER,9520,9165,4144,113,,,0,259,23201,MSR-2024_01.pdf,1.3.1
2024-01-01,FREDERICK,77559,67614,52074,1220,,,0,1736,200203,MSR-2024_01.pdf,1.3.1
2024-01-01,GARRETT,3602,13736,3048,114,,,0,203,20703,MSR-2024_01.pdf,1.3.1
2024-01-01,HARFORD,64624,80276,43971,1238,,,0,2217,192326,MSR-2024_01.pdf,1.3.1
2024-01-01,HOWARD,121417,48105,60900,955,,,0,2502,233879,MSR-2024_01.pdf,1.3.1
2024-01-01,KENT,5780,5251,2748,66,,,0,146,13991,MSR-2024_01.pdf,1.3.1
2024-01-01,MONTGOMERY,406622,96478,166632,2290,,,0,7136,679158,MSR-2024_01.pdf,1.3.1
2024-01-01,PR. GEORGE'S,454604,37744,94187,1487,,,0,12405,600427,MSR-2024_01.pdf,1.3.1
2024-01-01,QUEEN ANNE'S,11085,19985,8725,230,,,0,395,40420,MSR-2024_01.pdf,1.3.1
2024-01-01,ST. MARY'S,25000,31814,17644,488,,,0,834,75780,MSR-2024_01.pdf,1.3.1
2024-01-01,SOMERSET,5481,6115,2464,66,,,0,163,14289,MSR-2024_01.pdf,1.3.1
2024-01-01,TALBOT,10667,11671,6005,155,,,0,280,28778,MSR-2024_01.pdf,1.3.1
2024-01-01,WASHINGTON,30981,44088,23464,642,,,0,1150,100325,MSR-2024_01.pdf,1.3.1
2024-01-01,WICOMICO,26377,23971,14530,358,,,0,896,66132,MSR-2024_01.pdf,1.3.1
2024-01-01,WORCESTER,13611,19425,8965,230,,,0,568,42799,MSR-2024_01.pdf,1.3.1
